route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
GUILDFORD - HASLEMERE,4,GODALMING,MILFORD,stop,1.98,18.1,4,0
GUILDFORD - HASLEMERE,5,MILFORD,WITLEY,stop,2.46,18.2,4,0
GUILDFORD - HASLEMERE,6,WITLEY,HASLEMERE,stop,5.09,18.5,7,1
GUILDFORD - HAVANT,1,EFFINGHAM JUNCTION,GUILDFORD,pass,9.06,36.2,11,0
GUILDFORD - HAVANT,2,GUILDFORD,FARNCOMBE,stop,3.33,36.5,5,3
GUILDFORD - HAVANT,3,FARNCOMBE,GODALMING,stop,1.17,18.1,3,0
GUILDFORD - HAVANT,4,GODALMING,MILFORD,stop,1.98,18.1,4,0
GUILDFORD - HAVANT,5,MILFORD,WITLEY,stop,2.46,18.2,4,0
GUILDFORD - HAVANT,6,WITLEY,HASLEMERE,stop,5.09,18.5,7,1
GUILDFORD - HAVANT,7,HASLEMERE,LIPHOOK,stop,4.33,18.6,5,9
GUILDFORD - HAVANT,8,LIPHOOK,LISS,stop,5.07,18.7,6,1
GUILDFORD - HAVANT,9,LISS,PETERSFIELD,stop,3.81,18.9,5,0
GUILDFORD - HAVANT,10,PETERSFIELD,ROWLANDS CASTLE,stop,9.1,19.2,10,1
GUILDFORD - HAVANT,11,ROWLANDS CASTLE,HAVANT,stop,3.3,19.6,10,0
GUILDFORD - POOLE,1,EFFINGHAM JUNCTION,GUILDFORD,pass,9.06,36.2,11,0
GUILDFORD - POOLE,2,GUILDFORD,HAVANT,stop,36.44,37.4,49,1
GUILDFORD - POOLE,3,HAVANT,FAREHAM,stop,10.48,24.9,15,1
GUILDFORD - POOLE,4,FAREHAM,SOUTHAMPTON CENTRAL,stop,11.98,21.0,22,1
GUILDFORD - POOLE,5,SOUTHAMPTON CENTRAL,TOTTON,stop,3.5,21.0,5,3
GUILDFORD - POOLE,6,TOTTON,BROCKENHURST,stop,9.27,30.0,10,1
GUILDFORD - POOLE,7,BROCKENHURST,NEW MILTON,stop,10.01,23.0,6,2
GUILDFORD - POOLE,8,NEW MILTON,CHRISTCHURCH,stop,3.11,23.0,6,1
GUILDFORD - POOLE,9,CHRISTCHURCH,POKESDOWN,stop,2.14,30.0,3,1
GUILDFORD - POOLE,10,POKESDOWN,BOURNEMOUTH,stop,2.93,21.5,4,0
GUILDFORD - POOLE,11,BOURNEMOUTH,BRANKSOME,stop,1.93,21.5,5,1
GUILDFORD - POOLE,12,BRANKSOME,PARKSTONE,stop,1.54,30.0,2,1
GUILDFORD - POOLE,13,PARKSTONE,POOLE,stop,1.88,21.0,3,1
GUILDFORD - POOLE (2),1,EFFINGHAM JUNCTION,GUILDFORD,pass,9.06,36.2,11,0
GUILDFORD - POOLE (2),2,GUILDFORD,HAVANT,stop,36.44,37.4,49,1
