route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
RAYNES PARK - DORKING,3,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
RAYNES PARK - DORKING,4,STONELEIGH,EWELL WEST,stop,1.22,17.2,2,0
RAYNES PARK - DORKING,5,EWELL WEST,EPSOM,stop,1.36,42.6,4,0
RAYNES PARK - DORKING,6,EPSOM,ASHTEAD,stop,25.77,79.0,4,1
RAYNES PARK - DORKING,7,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,4,0
RAYNES PARK - DORKING,8,LEATHERHEAD,BOX HILL & WESTHUMBLE,stop,3.31,39.9,5,0
RAYNES PARK - DORKING,9,BOX HILL & WESTHUMBLE,DORKING,stop,0.97,17.8,3,0
RAYNES PARK - EPSOM,1,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,1
RAYNES PARK - EPSOM,2,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,3,0
RAYNES PARK - EPSOM,3,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
RAYNES PARK - EPSOM,4,STONELEIGH,EWELL WEST,stop,1.22,17.2,2,0
RAYNES PARK - EPSOM,5,EWELL WEST,EPSOM,stop,1.36,42.6,4,0
RAYNES PARK - GUILDFORD,1,RAYNES PARK,MOTSPUR PARK,stop,1.26,18.5,3,0
RAYNES PARK - GUILDFORD,2,MOTSPUR PARK,WORCESTER PARK,stop,1.11,17.1,3,0
RAYNES PARK - GUILDFORD,3,WORCESTER PARK,STONELEIGH,stop,1.43,17.1,3,0
RAYNES PARK - GUILDFORD,4,STONELEIGH,EWELL WEST,stop,1.22,17.2,2,0
RAYNES PARK - GUILDFORD,5,EWELL WEST,EPSOM,stop,1.36,42.6,4,0
RAYNES PARK - GUILDFORD,6,EPSOM,ASHTEAD,stop,25.77,79.0,4,0
RAYNES PARK - GUILDFORD,7,ASHTEAD,LEATHERHEAD,stop,22.01,76.0,4,0
RAYNES PARK - GUILDFORD,8,LEATHERHEAD,BOOKHAM,stop,2.74,39.8,6,0
RAYNES PARK - GUILDFORD,9,BOOKHAM,EFFINGHAM JUNCTION,stop,1.72,17.6,3,0
RAYNES PARK - GUILDFORD,10,EFFINGHAM JUNCTION,HORSLEY,stop,1.23,17.6,2,1
