route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
DORKING - BALHAM (3),9,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
DORKING - BALHAM (3),10,MITCHAM EASTFIELDS,BALHAM,stop,2.82,16.9,9,0
DORKING - BALHAM (4),1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0
DORKING - BALHAM (4),2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
DORKING - BALHAM (4),3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
DORKING - BALHAM (4),4,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
DORKING - BALHAM (4),5,EPSOM,EWELL EAST,stop,1.65,42.6,5,0
DORKING - BALHAM (4),6,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
DORKING - BALHAM (4),7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0
DORKING - BALHAM (4),8,SUTTON (SURREY),CARSHALTON,stop,1.31,17.2,3,1
DORKING - BALHAM (4),9,CARSHALTON,HACKBRIDGE,stop,6.49,48.6,2,0
DORKING - BALHAM (4),10,HACKBRIDGE,MITCHAM JUNCTION,stop,7.56,48.5,3,0
DORKING - BALHAM (4),11,MITCHAM JUNCTION,MITCHAM EASTFIELDS,stop,1.19,17.0,3,0
DORKING - BALHAM (4),12,MITCHAM EASTFIELDS,BALHAM,stop,2.82,16.9,8,1
DORKING - BALHAM (5),1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,4,0
DORKING - BALHAM (5),2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
DORKING - BALHAM (5),3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,0
DORKING - BALHAM (5),4,ASHTEAD,EPSOM,stop,25.77,79.0,5,0
DORKING - BALHAM (5),5,EPSOM,EWELL EAST,stop,1.65,42.6,5,0
DORKING - BALHAM (5),6,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
DORKING - BALHAM (5),7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0
DORKING - BALHAM (5),8,SUTTON (SURREY),BALHAM,stop,6.86,17.0,21,2
DORKING - BATTERSEA PARK LONDON,1,DORKING,BOX HILL & WESTHUMBLE,stop,0.97,17.8,3,0
DORKING - BATTERSEA PARK LONDON,2,BOX HILL & WESTHUMBLE,LEATHERHEAD,stop,3.31,39.9,4,0
DORKING - BATTERSEA PARK LONDON,3,LEATHERHEAD,ASHTEAD,stop,22.01,76.0,4,1
DORKING - BATTERSEA PARK LONDON,4,ASHTEAD,EPSOM,stop,25.77,79.0,4,0
DORKING - BATTERSEA PARK LONDON,5,EPSOM,EWELL EAST,stop,1.65,42.6,4,1
DORKING - BATTERSEA PARK LONDON,6,EWELL EAST,CHEAM,stop,1.54,17.2,3,0
DORKING - BATTERSEA PARK LONDON,7,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0
DORKING - BATTERSEA PARK LONDON,8,SUTTON (SURREY),STREATHAM COMMON,stop,5.37,17.0,14,3
