date,dep_time,route_variant,train_type,cars
01/11/2025,09:30,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,09:37,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
01/11/2025,09:40,WOLVERHAMPTON_ST_GEORGE'S_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,09:45,EDGBASTON_VILLAGE_WOLVERHAMPTON_STATION,CAF_URBOS_3,5
01/11/2025,09:45,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,09:52,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
01/11/2025,09:55,WOLVERHAMPTON_ST_GEORGE'S_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:00,EDGBASTON_VILLAGE_WOLVERHAMPTON_STATION,CAF_URBOS_3,5
01/11/2025,10:00,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:07,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
01/11/2025,10:10,WOLVERHAMPTON_ST_GEORGE'S_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:15,EDGBASTON_VILLAGE_WOLVERHAMPTON_STATION,CAF_URBOS_3,5
01/11/2025,10:15,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:22,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
01/11/2025,10:25,WOLVERHAMPTON_ST_GEORGE'S_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:30,EDGBASTON_VILLAGE_WOLVERHAMPTON_STATION,CAF_URBOS_3,5
01/11/2025,10:30,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:37,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
01/11/2025,10:40,WOLVERHAMPTON_ST_GEORGE'S_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:45,EDGBASTON_VILLAGE_WOLVERHAMPTON_STATION,CAF_URBOS_3,5
01/11/2025,10:45,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,10:52,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
01/11/2025,10:55,WOLVERHAMPTON_ST_GEORGE'S_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,11:00,EDGBASTON_VILLAGE_WOLVERHAMPTON_STATION,CAF_URBOS_3,5
01/11/2025,11:00,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,11:07,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
01/11/2025,11:10,WOLVERHAMPTON_ST_GEORGE'S_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,11:15,EDGBASTON_VILLAGE_WOLVERHAMPTON_STATION,CAF_URBOS_3,5
01/11/2025,11:15,WOLVERHAMPTON_STATION_EDGBASTON_VILLAGE,CAF_URBOS_3,5
01/11/2025,11:22,EDGBASTON_VILLAGE_WOLVERHAMPTON_ST_GEORGE'S,CAF_URBOS_3,5
