route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
BRIGHTON - BATTERSEA PARK LONDON,2,PURLEY,SOUTH CROYDON,stop,4.85,29.6,4,2
BRIGHTON - BATTERSEA PARK LONDON,3,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,1,0
BRIGHTON - BEDFORD MIDLAND,1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (10),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (11),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - BEDFORD MIDLAND (12),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - BEDFORD MIDLAND (13),1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,0.5
BRIGHTON - BEDFORD MIDLAND (14),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (15),1,MERSTHAM,COULSDON SOUTH,stop,4.1,17.5,5,0.5
BRIGHTON - BEDFORD MIDLAND (15),2,COULSDON SOUTH,PURLEY,stop,2.12,17.4,3,0.5
BRIGHTON - BEDFORD MIDLAND (15),3,PURLEY,EAST CROYDON,stop,3.07,36.1,5,0.5
BRIGHTON - BEDFORD MIDLAND (16),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (17),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - BEDFORD MIDLAND (2),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (3),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (4),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (5),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - BEDFORD MIDLAND (6),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - BEDFORD MIDLAND (7),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - BEDFORD MIDLAND (8),1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,1
BRIGHTON - BEDFORD MIDLAND (9),1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,1
BRIGHTON - CAMBRIDGE,1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - CAMBRIDGE (10),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - CAMBRIDGE (2),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - CAMBRIDGE (3),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - CAMBRIDGE (4),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - CAMBRIDGE (5),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - CAMBRIDGE (6),1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BRIGHTON - CAMBRIDGE (7),1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BRIGHTON - CAMBRIDGE (8),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - CAMBRIDGE (9),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - EAST CROYDON,1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - EAST CROYDON,2,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,1,0
BRIGHTON - EAST CROYDON,3,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - EAST CROYDON (10),1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BRIGHTON - EAST CROYDON (2),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - EAST CROYDON (2),2,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,2,0
BRIGHTON - EAST CROYDON (2),3,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - EAST CROYDON (3),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - EAST CROYDON (3),2,MERSTHAM,COULSDON SOUTH,stop,4.1,17.5,5,0
BRIGHTON - EAST CROYDON (3),3,COULSDON SOUTH,PURLEY,stop,2.12,17.4,3,0
BRIGHTON - EAST CROYDON (3),4,PURLEY,SOUTH CROYDON,stop,4.85,29.6,4,0
BRIGHTON - EAST CROYDON (3),5,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,1,0
BRIGHTON - EAST CROYDON (3),6,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BRIGHTON - EAST CROYDON (4),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - EAST CROYDON (4),2,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,2,0
BRIGHTON - EAST CROYDON (5),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - EAST CROYDON (5),2,PURLEY,SOUTH CROYDON,stop,4.85,29.6,4,1
BRIGHTON - EAST CROYDON (5),3,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,2,0
BRIGHTON - EAST CROYDON (6),1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,1
BRIGHTON - EAST CROYDON (6),2,MERSTHAM,COULSDON SOUTH,stop,4.1,17.5,5,0
BRIGHTON - EAST CROYDON (6),3,COULSDON SOUTH,PURLEY,stop,2.12,17.4,3,0
BRIGHTON - EAST CROYDON (6),4,PURLEY,EAST CROYDON,stop,3.07,36.1,5,0
BRIGHTON - EAST CROYDON (7),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - EAST CROYDON (7),2,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - EAST CROYDON (8),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - EAST CROYDON (8),2,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - EAST CROYDON (9),1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BRIGHTON - EAST CROYDON (9),2,PURLEY,EAST CROYDON,stop,3.07,36.1,6,1
BRIGHTON - HARPENDEN,1,PURLEY,EAST CROYDON,stop,3.07,36.1,7,1
BRIGHTON - HARPENDEN (2),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - HARPENDEN (3),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - HARPENDEN (4),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - HARPENDEN (5),1,PURLEY,EAST CROYDON,pass,3.07,36.1,6,0
BRIGHTON - HARPENDEN (6),1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BRIGHTON - HARPENDEN (7),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - HARPENDEN (8),1,PURLEY,EAST CROYDON,pass,3.07,36.1,5,0
BRIGHTON - HARPENDEN (9),1,PURLEY,EAST CROYDON,stop,3.07,36.1,7,1
BRIGHTON - NORWOOD JUNCTION,1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - NORWOOD JUNCTION,2,SOUTH CROYDON,EAST CROYDON,pass,4.39,48.5,2,0
BRIGHTON - NORWOOD JUNCTION,3,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - NORWOOD JUNCTION (2),1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
BRIGHTON - SELHURST,1,PURLEY,EAST CROYDON,pass,3.07,36.1,3,0
BRIGHTON - ST PANCRAS LOW LEVEL,1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,0.5
BRIGHTON - STEVENAGE,1,PURLEY,EAST CROYDON,pass,3.07,36.1,4,0
CAMBRIDGE - BRIGHTON,1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,0.5
CAMBRIDGE - BRIGHTON (2),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
CAMBRIDGE - BRIGHTON (3),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
CAMBRIDGE - BRIGHTON (4),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
CAMBRIDGE - BRIGHTON (5),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
CAMBRIDGE - BRIGHTON (6),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
CATERHAM - EAST CROYDON,1,KENLEY,PURLEY,stop,1.19,17.4,4,0
CATERHAM - EAST CROYDON,2,PURLEY,PURLEY OAKS,stop,1.06,17.3,2,10
CATERHAM - EAST CROYDON,3,PURLEY OAKS,SOUTH CROYDON,stop,5.2,29.6,3,1
CATERHAM - EAST CROYDON,4,SOUTH CROYDON,EAST CROYDON,stop,4.39,48.5,3,0
CATERHAM - NORWOOD JUNCTION,1,KENLEY,PURLEY,stop,1.19,17.4,4,0
CATERHAM - NORWOOD JUNCTION,2,PURLEY,PURLEY OAKS,stop,1.06,17.3,2,7
CATERHAM - NORWOOD JUNCTION,3,PURLEY OAKS,SOUTH CROYDON,stop,5.2,29.6,3,1
CATERHAM - NORWOOD JUNCTION,4,SOUTH CROYDON,EAST CROYDON,stop,4.39,48.5,3,0
CATERHAM - PURLEY,1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,11
CATERHAM - PURLEY,2,PURLEY,SOUTH CROYDON,stop,4.85,29.6,3,11
CATERHAM - PURLEY,3,KENLEY,PURLEY,stop,1.19,17.4,4,0
CATERHAM - SELHURST  T&RS  MD  M&EE   NSC (2),1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,6
CATERHAM - SELHURST  T&RS  MD  M&EE   NSC (2),2,PURLEY,SOUTH CROYDON,stop,4.85,29.6,4,6
CATERHAM - SOUTH BERMONDSEY,1,KENLEY,PURLEY,stop,1.19,17.4,4,0
CATERHAM - SOUTH BERMONDSEY,2,PURLEY,PURLEY OAKS,stop,1.06,17.3,2,1
CATERHAM - SOUTH BERMONDSEY,3,PURLEY OAKS,SOUTH CROYDON,stop,5.2,29.6,3,0
CATERHAM - SOUTH BERMONDSEY,4,SOUTH CROYDON,EAST CROYDON,stop,4.39,48.5,4,0
CATERHAM - T & RSMD,1,PURLEY,EAST CROYDON,stop,3.07,36.1,6,6
CATERHAM - T & RSMD,2,PURLEY,SOUTH CROYDON,stop,4.85,29.6,4,6
EAST CROYDON - BARNHAM,1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BARNHAM (2),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BARNHAM (3),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,0
EAST CROYDON - BEXHILL,1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,2
EAST CROYDON - BOGNOR REGIS,1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,1
EAST CROYDON - BOGNOR REGIS,2,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BOGNOR REGIS (2),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BOGNOR REGIS (3),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BOGNOR REGIS (4),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BOGNOR REGIS (5),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,2
EAST CROYDON - BOGNOR REGIS (6),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,1
EAST CROYDON - BRIGHTON,1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,2
EAST CROYDON - BRIGHTON,2,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0
EAST CROYDON - BRIGHTON,3,EAST CROYDON,PURLEY,stop,3.07,36.1,4,0
EAST CROYDON - BRIGHTON (10),1,EAST CROYDON,PURLEY,stop,3.07,36.1,6,1
EAST CROYDON - BRIGHTON (10),2,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,2,4
EAST CROYDON - BRIGHTON (10),3,SOUTH CROYDON,PURLEY,pass,4.85,29.6,2,0
EAST CROYDON - BRIGHTON (10),4,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,1
EAST CROYDON - BRIGHTON (10),5,EAST CROYDON,PURLEY,stop,3.07,36.1,5,0
EAST CROYDON - BRIGHTON (11),1,EAST CROYDON,PURLEY,stop,3.07,36.1,4,4
EAST CROYDON - BRIGHTON (11),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,1
EAST CROYDON - BRIGHTON (12),1,EAST CROYDON,PURLEY,stop,3.07,36.1,5,1
EAST CROYDON - BRIGHTON (12),2,PURLEY,COULSDON SOUTH,stop,2.12,17.4,4,0
EAST CROYDON - BRIGHTON (13),1,EAST CROYDON,SOUTH CROYDON,stop,4.39,48.5,3,0
