route_variant,date,departure_time,train_class,number_of_coaches
ALDERSHOT - ASCOT,2026-03-14,11:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,12:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,12:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,13:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,13:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,14:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,14:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,15:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,15:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,16:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,16:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,17:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,17:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,18:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,18:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,19:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,19:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,20:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,20:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,21:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,21:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,22:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,22:30:00,450,4
ALDERSHOT - ASCOT,2026-03-14,23:00:00,450,4
ALDERSHOT - ASCOT,2026-03-14,23:30:00,450,4
ALDERSHOT - GUILDFORD,2026-03-08,07:48:00,450,4
ALDERSHOT - WEYBRIDGE,2026-03-14,23:41:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,23:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,22:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,22:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,21:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,21:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,20:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,20:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,19:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,19:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,18:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,18:10:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,17:40:00,450,8
ALDERSHOT - WEYBRIDGE,2026-03-14,17:10:00,450,8
