route_variant,seq,from_station,to_station,stop_type,distance_miles,avg_elevation_m,run_min,wait_min
EPSOM - HORSHAM,2,ASHTEAD,LEATHERHEAD,stop,2.2,76,11,0.5
EPSOM - HORSHAM,5,DORKING,HOLMWOOD,stop,4.86,18,10,0.5
EPSOM - HORSHAM,6,HOLMWOOD,OCKLEY,stop,2.44,18.1,9,0.5
EPSOM - MITCHAM EASTFIELDS,1,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,1
EPSOM - MITCHAM EASTFIELDS (2),1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - MITCHAM EASTFIELDS (2),2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - MITCHAM EASTFIELDS (2),3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
EPSOM - NORWOOD JUNCTION,1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - NORWOOD JUNCTION,2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - NORWOOD JUNCTION,3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
EPSOM - RAYNES PARK,1,EPSOM,EWELL WEST,stop,1.36,42.6,8,0.5
EPSOM - SOUTH BERMONDSEY,1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - SOUTH BERMONDSEY,2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - SOUTH BERMONDSEY,3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
EPSOM - STREATHAM HILL,1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - STREATHAM HILL,2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - STREATHAM HILL,3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,3,0.5
EPSOM - SUTTON (SURREY),1,EPSOM,EWELL EAST,stop,1.65,42.6,8,0.5
EPSOM - SUTTON (SURREY),2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - SUTTON (SURREY),3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,10,0.5
EPSOM - T & RSMD,1,EPSOM,SUTTON (SURREY),stop,4.41,42.6,22,0.5
EPSOM - WEST CROYDON,1,EPSOM,EWELL EAST,stop,1.65,42.6,4,0.5
EPSOM - WEST CROYDON,2,EWELL EAST,CHEAM,stop,1.54,17.2,3,0.5
EPSOM - WEST CROYDON,3,CHEAM,SUTTON (SURREY),stop,1.26,17.2,2,0.5
EPSOM - WORCESTER PARK,1,EPSOM,EWELL WEST,stop,1.36,42.6,8,0.5
EPSOM DOWNS - BATTERSEA PARK LONDON,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0.5
EPSOM DOWNS - BATTERSEA PARK LONDON,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0.5
EPSOM DOWNS - BATTERSEA PARK LONDON,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0.5
EPSOM DOWNS - EPSOM DOWNS,1,SUTTON (SURREY),EPSOM DOWNS,pass,4.06,17.3,9,0
EPSOM DOWNS - STREATHAM HILL,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0.5
EPSOM DOWNS - STREATHAM HILL,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0.5
EPSOM DOWNS - STREATHAM HILL,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0.5
EPSOM DOWNS - SUTTON (SURREY),1,EPSOM DOWNS,SUTTON (SURREY),stop,4.06,17.3,7,0.5
EPSOM DOWNS - WANDSWORTH COMMON LONDON,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0.5
EPSOM DOWNS - WANDSWORTH COMMON LONDON,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0.5
EPSOM DOWNS - WANDSWORTH COMMON LONDON,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0.5
EPSOM DOWNS - WEST CROYDON,1,EPSOM DOWNS,BANSTEAD,stop,1.59,17.4,3,0.5
EPSOM DOWNS - WEST CROYDON,2,BANSTEAD,BELMONT SURREY,stop,1.35,17.4,3,0.5
EPSOM DOWNS - WEST CROYDON,3,BELMONT SURREY,SUTTON (SURREY),stop,1.35,17.2,3,0.5
GUILDFORD - EARLSFIELD,1,GUILDFORD,LONDON ROAD GUILDFORD,stop,0.77,36.4,4,0.5
GUILDFORD - EARLSFIELD,2,LONDON ROAD GUILDFORD,CLANDON,stop,3.57,17.8,5,0.5
GUILDFORD - EARLSFIELD,3,CLANDON,HORSLEY,stop,3.65,17.6,4,0.5
GUILDFORD - EARLSFIELD,4,HORSLEY,EFFINGHAM JUNCTION,stop,1.23,17.6,2,1
